table_name,constraint_type,constraint_name,column_name,foreign_table,foreign_column
audit_logs,CHECK,2200_18758_1_not_null,null,null,null
audit_logs,CHECK,2200_18758_4_not_null,null,null,null
audit_logs,CHECK,2200_18758_6_not_null,null,null,null
audit_logs,FOREIGN KEY,audit_logs_company_id_fkey,company_id,companies,id
audit_logs,FOREIGN KEY,audit_logs_user_id_fkey,user_id,users,id
audit_logs,PRIMARY KEY,audit_logs_pkey,id,audit_logs,id
billing_plans,CHECK,2200_17881_1_not_null,null,null,null
billing_plans,CHECK,2200_17881_2_not_null,null,null,null
billing_plans,CHECK,2200_17881_4_not_null,null,null,null
billing_plans,PRIMARY KEY,billing_plans_pkey,id,billing_plans,id
billing_plans,UNIQUE,billing_plans_name_key,name,billing_plans,name
change_order_items,CHECK,2200_24322_11_not_null,null,null,null
change_order_items,CHECK,2200_24322_1_not_null,null,null,null
change_order_items,CHECK,2200_24322_2_not_null,null,null,null
change_order_items,CHECK,2200_24322_3_not_null,null,null,null
change_order_items,CHECK,2200_24322_4_not_null,null,null,null
change_order_items,CHECK,2200_24322_5_not_null,null,null,null
change_order_items,CHECK,2200_24322_7_not_null,null,null,null
change_order_items,CHECK,2200_24322_8_not_null,null,null,null
change_order_items,CHECK,2200_24322_9_not_null,null,null,null
change_order_items,CHECK,change_order_items_category_check,null,change_order_items,category
change_order_items,CHECK,change_order_items_item_type_check,null,change_order_items,item_type
change_order_items,FOREIGN KEY,change_order_items_change_order_id_fkey,change_order_id,change_orders,id
change_order_items,FOREIGN KEY,change_order_items_company_id_fkey,company_id,companies,id
change_order_items,PRIMARY KEY,change_order_items_pkey,id,change_order_items,id
change_orders,CHECK,2200_24283_13_not_null,null,null,null
change_orders,CHECK,2200_24283_19_not_null,null,null,null
change_orders,CHECK,2200_24283_1_not_null,null,null,null
change_orders,CHECK,2200_24283_23_not_null,null,null,null
change_orders,CHECK,2200_24283_2_not_null,null,null,null
change_orders,CHECK,2200_24283_3_not_null,null,null,null
change_orders,CHECK,2200_24283_4_not_null,null,null,null
change_orders,CHECK,2200_24283_5_not_null,null,null,null
change_orders,CHECK,2200_24283_8_not_null,null,null,null
change_orders,CHECK,2200_24283_9_not_null,null,null,null
change_orders,CHECK,change_orders_reason_check,null,change_orders,reason
change_orders,CHECK,change_orders_status_check,null,change_orders,status
change_orders,FOREIGN KEY,change_orders_company_id_fkey,company_id,companies,id
change_orders,FOREIGN KEY,change_orders_requested_by_fkey,requested_by,profiles,id
change_orders,FOREIGN KEY,change_orders_work_order_id_fkey,work_order_id,work_orders,id
change_orders,PRIMARY KEY,change_orders_pkey,id,change_orders,id
change_orders,UNIQUE,change_orders_change_order_number_key,change_order_number,change_orders,change_order_number
companies,CHECK,2200_17828_1_not_null,null,null,null
companies,CHECK,2200_17828_2_not_null,null,null,null
companies,CHECK,2200_17828_3_not_null,null,null,null
companies,CHECK,chk_companies_email_format,null,companies,email
companies,CHECK,chk_company_postal_code,null,companies,postal_code
companies,CHECK,companies_company_number_check,null,companies,company_number
companies,CHECK,companies_email_check,null,companies,email
companies,CHECK,companies_name_check,null,companies,name
companies,CHECK,companies_phone_check,null,companies,phone
companies,CHECK,companies_tax_id_check,null,companies,tax_id
companies,CHECK,companies_website_check,null,companies,website
companies,FOREIGN KEY,companies_created_by_fkey,created_by,users,id
companies,PRIMARY KEY,companies_pkey,id,companies,id
companies,UNIQUE,companies_company_number_key,company_number,companies,company_number
company_settings,CHECK,2200_17855_1_not_null,null,null,null
company_settings,CHECK,chk_default_tax_rate,null,company_settings,default_tax_rate
company_settings,FOREIGN KEY,company_settings_company_id_fkey,company_id,companies,id
company_settings,PRIMARY KEY,company_settings_pkey,id,company_settings,id
company_settings,UNIQUE,company_settings_company_id_unique,company_id,company_settings,company_id
customer_addresses,CHECK,2200_17946_1_not_null,null,null,null
customer_addresses,CHECK,2200_17946_4_not_null,null,null,null
customer_addresses,CHECK,2200_17946_6_not_null,null,null,null
customer_addresses,CHECK,2200_17946_7_not_null,null,null,null
customer_addresses,CHECK,2200_17946_8_not_null,null,null,null
customer_addresses,CHECK,address_type_check,null,customer_addresses,address_type
customer_addresses,CHECK,customer_addresses_type_check,null,customer_addresses,address_type
customer_addresses,FOREIGN KEY,customer_addresses_company_id_fkey,company_id,companies,id
customer_addresses,FOREIGN KEY,customer_addresses_customer_id_fkey,customer_id,customers,id
customer_addresses,PRIMARY KEY,customer_addresses_pkey,id,customer_addresses,id
customer_equipment,CHECK,2200_23895_1_not_null,null,null,null
customer_equipment,CHECK,customer_equipment_status_check,null,customer_equipment,status
customer_equipment,FOREIGN KEY,customer_equipment_company_id_fkey,company_id,companies,id
customer_equipment,FOREIGN KEY,customer_equipment_customer_address_id_fkey,customer_address_id,customer_addresses,id
customer_equipment,FOREIGN KEY,customer_equipment_customer_id_fkey,customer_id,customers,id
customer_equipment,FOREIGN KEY,customer_equipment_installed_by_fkey,installed_by,employees,id
customer_equipment,PRIMARY KEY,customer_equipment_pkey,id,customer_equipment,id
customer_feedback,CHECK,2200_24378_15_not_null,null,null,null
customer_feedback,CHECK,2200_24378_16_not_null,null,null,null
customer_feedback,CHECK,2200_24378_1_not_null,null,null,null
customer_feedback,CHECK,2200_24378_2_not_null,null,null,null
customer_feedback,CHECK,2200_24378_3_not_null,null,null,null
customer_feedback,CHECK,2200_24378_4_not_null,null,null,null
customer_feedback,CHECK,customer_feedback_overall_rating_check,null,customer_feedback,overall_rating
customer_feedback,CHECK,customer_feedback_professionalism_rating_check,null,customer_feedback,professionalism_rating
customer_feedback,CHECK,customer_feedback_quality_rating_check,null,customer_feedback,quality_rating
customer_feedback,CHECK,customer_feedback_review_platform_check,null,customer_feedback,review_platform
customer_feedback,CHECK,customer_feedback_timeliness_rating_check,null,customer_feedback,timeliness_rating
customer_feedback,CHECK,customer_feedback_value_rating_check,null,customer_feedback,value_rating
customer_feedback,FOREIGN KEY,customer_feedback_company_id_fkey,company_id,companies,id
customer_feedback,FOREIGN KEY,customer_feedback_customer_id_fkey,customer_id,customers,id
customer_feedback,FOREIGN KEY,customer_feedback_work_order_id_fkey,work_order_id,work_orders,id
customer_feedback,PRIMARY KEY,customer_feedback_pkey,id,customer_feedback,id
customer_tag_assignments,CHECK,2200_17994_1_not_null,null,null,null
customer_tag_assignments,FOREIGN KEY,customer_tag_assignments_assigned_by_fkey,assigned_by,users,id
customer_tag_assignments,FOREIGN KEY,customer_tag_assignments_customer_id_fkey,customer_id,customers,id
customer_tag_assignments,FOREIGN KEY,customer_tag_assignments_tag_id_fkey,tag_id,customer_tags,id
customer_tag_assignments,PRIMARY KEY,customer_tag_assignments_pkey,id,customer_tag_assignments,id
customer_tag_assignments,UNIQUE,customer_tag_assignments_customer_id_tag_id_key,customer_id,customer_tag_assignments,customer_id
customer_tag_assignments,UNIQUE,customer_tag_assignments_customer_id_tag_id_key,tag_id,customer_tag_assignments,tag_id
customer_tag_assignments,UNIQUE,customer_tag_assignments_customer_id_tag_id_key,tag_id,customer_tag_assignments,customer_id
customer_tag_assignments,UNIQUE,customer_tag_assignments_customer_id_tag_id_key,customer_id,customer_tag_assignments,tag_id
customer_tags,CHECK,2200_17981_1_not_null,null,null,null
customer_tags,CHECK,2200_17981_2_not_null,null,null,null
customer_tags,CHECK,2200_17981_7_not_null,null,null,null
customer_tags,FOREIGN KEY,customer_tags_company_id_fkey,company_id,companies,id
customer_tags,PRIMARY KEY,customer_tags_pkey,id,customer_tags,id
customer_tags,UNIQUE,customer_tags_name_key,name,customer_tags,name
customers,CHECK,2200_17917_1_not_null,null,null,null
customers,CHECK,2200_17917_3_not_null,null,null,null
customers,CHECK,chk_credit_limit,null,customers,credit_limit
customers,CHECK,chk_customer_name,null,customers,company_name
customers,CHECK,chk_customer_name,null,customers,first_name
customers,CHECK,chk_customer_name,null,customers,last_name
customers,CHECK,chk_customer_number,null,customers,customer_number
customers,CHECK,chk_customers_email_format,null,customers,email
customers,CHECK,customers_preferred_contact_check,null,customers,preferred_contact
customers,CHECK,customers_preferred_contact_method_check,null,customers,preferred_contact_method
customers,CHECK,customers_status_check,null,customers,status
customers,CHECK,customers_type_check,null,customers,type
customers,FOREIGN KEY,customers_company_id_fkey,company_id,companies,id
customers,PRIMARY KEY,customers_pkey,id,customers,id
customers,UNIQUE,customers_customer_number_key,customer_number,customers,customer_number
document_templates,CHECK,2200_20951_1_not_null,null,null,null
document_templates,CHECK,2200_20951_2_not_null,null,null,null
document_templates,CHECK,2200_20951_3_not_null,null,null,null
document_templates,CHECK,2200_20951_4_not_null,null,null,null
document_templates,CHECK,document_templates_type_check,null,document_templates,type
document_templates,FOREIGN KEY,document_templates_company_id_fkey,company_id,companies,id
document_templates,PRIMARY KEY,document_templates_pkey,id,document_templates,id
document_templates,UNIQUE,document_templates_company_id_type_name_key,type,document_templates,name
document_templates,UNIQUE,document_templates_company_id_type_name_key,type,document_templates,type
document_templates,UNIQUE,document_templates_company_id_type_name_key,name,document_templates,type
document_templates,UNIQUE,document_templates_company_id_type_name_key,name,document_templates,name
document_templates,UNIQUE,document_templates_company_id_type_name_key,name,document_templates,company_id
document_templates,UNIQUE,document_templates_company_id_type_name_key,company_id,document_templates,company_id
document_templates,UNIQUE,document_templates_company_id_type_name_key,company_id,document_templates,name
document_templates,UNIQUE,document_templates_company_id_type_name_key,company_id,document_templates,type
document_templates,UNIQUE,document_templates_company_id_type_name_key,type,document_templates,company_id
documents,CHECK,2200_18218_1_not_null,null,null,null
documents,CHECK,2200_18218_5_not_null,null,null,null
documents,CHECK,2200_18218_6_not_null,null,null,null
documents,CHECK,2200_18218_7_not_null,null,null,null
documents,CHECK,2200_18218_8_not_null,null,null,null
documents,CHECK,documents_document_type_check,null,documents,document_type
documents,FOREIGN KEY,documents_company_id_fkey,company_id,companies,id
documents,FOREIGN KEY,documents_created_by_fkey,created_by,users,id
documents,FOREIGN KEY,documents_customer_id_fkey,customer_id,customers,id
documents,FOREIGN KEY,documents_work_order_id_fkey,work_order_id,work_orders,id
documents,PRIMARY KEY,documents_pkey,id,documents,id
employee_timesheets,CHECK,2200_18410_1_not_null,null,null,null
employee_timesheets,CHECK,2200_18410_4_not_null,null,null,null
employee_timesheets,CHECK,chk_clock_times,null,employee_timesheets,clock_in
employee_timesheets,CHECK,chk_clock_times,null,employee_timesheets,clock_out
employee_timesheets,CHECK,chk_timesheet_hours,null,employee_timesheets,overtime_hours
employee_timesheets,CHECK,chk_timesheet_hours,null,employee_timesheets,regular_hours
employee_timesheets,FOREIGN KEY,employee_timesheets_approved_by_fkey,approved_by,users,id
employee_timesheets,FOREIGN KEY,employee_timesheets_employee_id_fkey,employee_id,employees,id
employee_timesheets,FOREIGN KEY,employee_timesheets_work_order_id_fkey,work_order_id,work_orders,id
employee_timesheets,PRIMARY KEY,employee_timesheets_pkey,id,employee_timesheets,id
employees,CHECK,2200_18385_1_not_null,null,null,null
employees,CHECK,2200_18385_4_not_null,null,null,null
employees,CHECK,chk_termination_after_hire,null,employees,hire_date
employees,CHECK,chk_termination_after_hire,null,employees,termination_date
employees,CHECK,employees_employee_type_check,null,employees,employee_type
employees,CHECK,employees_pay_type_check,null,employees,pay_type
employees,FOREIGN KEY,employees_company_id_fkey,company_id,companies,id
employees,FOREIGN KEY,employees_user_id_fkey,user_id,users,id
employees,PRIMARY KEY,employees_pkey,id,employees,id
employees,UNIQUE,employees_employee_number_key,employee_number,employees,employee_number
expenses,CHECK,2200_18331_1_not_null,null,null,null
expenses,CHECK,2200_18331_5_not_null,null,null,null
expenses,CHECK,2200_18331_6_not_null,null,null,null
expenses,CHECK,2200_18331_7_not_null,null,null,null
expenses,CHECK,expenses_amount_check,null,expenses,amount
expenses,CHECK,expenses_status_check,null,expenses,status
expenses,FOREIGN KEY,expenses_approved_by_fkey,approved_by,users,id
expenses,FOREIGN KEY,expenses_company_id_fkey,company_id,companies,id
expenses,FOREIGN KEY,expenses_employee_id_fkey,employee_id,users,id
expenses,FOREIGN KEY,expenses_work_order_id_fkey,work_order_id,work_orders,id
expenses,PRIMARY KEY,expenses_pkey,id,expenses,id
inventory_items,CHECK,2200_18505_1_not_null,null,null,null
inventory_items,CHECK,2200_18505_3_not_null,null,null,null
inventory_items,CHECK,2200_18505_4_not_null,null,null,null
inventory_items,FOREIGN KEY,inventory_items_company_id_fkey,company_id,companies,id
inventory_items,PRIMARY KEY,inventory_items_pkey,id,inventory_items,id
inventory_items,UNIQUE,inventory_items_sku_key,sku,inventory_items,sku
inventory_locations,CHECK,2200_18487_1_not_null,null,null,null
inventory_locations,CHECK,2200_18487_3_not_null,null,null,null
inventory_locations,FOREIGN KEY,inventory_locations_company_id_fkey,company_id,companies,id
inventory_locations,PRIMARY KEY,inventory_locations_pkey,id,inventory_locations,id
inventory_locations,UNIQUE,inventory_locations_company_id_name_key,company_id,inventory_locations,company_id
inventory_locations,UNIQUE,inventory_locations_company_id_name_key,name,inventory_locations,name
inventory_locations,UNIQUE,inventory_locations_company_id_name_key,name,inventory_locations,company_id
inventory_locations,UNIQUE,inventory_locations_company_id_name_key,company_id,inventory_locations,name
inventory_movements,CHECK,2200_18555_1_not_null,null,null,null
inventory_movements,CHECK,2200_18555_6_not_null,null,null,null
inventory_movements,CHECK,2200_18555_7_not_null,null,null,null
inventory_movements,FOREIGN KEY,inventory_movements_company_id_fkey,company_id,companies,id
inventory_movements,FOREIGN KEY,inventory_movements_created_by_fkey,created_by,users,id
inventory_movements,FOREIGN KEY,inventory_movements_item_id_fkey,item_id,inventory_items,id
inventory_movements,FOREIGN KEY,inventory_movements_location_id_fkey,location_id,inventory_locations,id
inventory_movements,FOREIGN KEY,inventory_movements_work_order_id_fkey,work_order_id,work_orders,id
inventory_movements,PRIMARY KEY,inventory_movements_pkey,id,inventory_movements,id
inventory_stock,CHECK,2200_18528_1_not_null,null,null,null
inventory_stock,FOREIGN KEY,inventory_stock_item_id_fkey,item_id,inventory_items,id
inventory_stock,FOREIGN KEY,inventory_stock_last_counted_by_fkey,last_counted_by,users,id
inventory_stock,FOREIGN KEY,inventory_stock_location_id_fkey,location_id,inventory_locations,id
inventory_stock,PRIMARY KEY,inventory_stock_pkey,id,inventory_stock,id
inventory_stock,UNIQUE,inventory_stock_item_id_location_id_key,item_id,inventory_stock,location_id
inventory_stock,UNIQUE,inventory_stock_item_id_location_id_key,location_id,inventory_stock,location_id
inventory_stock,UNIQUE,inventory_stock_item_id_location_id_key,location_id,inventory_stock,item_id
inventory_stock,UNIQUE,inventory_stock_item_id_location_id_key,item_id,inventory_stock,item_id
invoice_deliveries,CHECK,2200_24200_14_not_null,null,null,null
invoice_deliveries,CHECK,2200_24200_17_not_null,null,null,null
invoice_deliveries,CHECK,2200_24200_18_not_null,null,null,null
invoice_deliveries,CHECK,2200_24200_1_not_null,null,null,null
invoice_deliveries,CHECK,2200_24200_2_not_null,null,null,null
invoice_deliveries,CHECK,2200_24200_3_not_null,null,null,null
invoice_deliveries,CHECK,2200_24200_4_not_null,null,null,null
invoice_deliveries,CHECK,2200_24200_7_not_null,null,null,null
invoice_deliveries,CHECK,invoice_deliveries_delivery_method_check,null,invoice_deliveries,delivery_method
invoice_deliveries,CHECK,invoice_deliveries_delivery_status_check,null,invoice_deliveries,delivery_status
invoice_deliveries,FOREIGN KEY,invoice_deliveries_company_id_fkey,company_id,companies,id
invoice_deliveries,FOREIGN KEY,invoice_deliveries_invoice_id_fkey,invoice_id,invoices,id
invoice_deliveries,FOREIGN KEY,invoice_deliveries_sent_by_fkey,sent_by,profiles,id
invoice_deliveries,PRIMARY KEY,invoice_deliveries_pkey,id,invoice_deliveries,id
invoice_line_items,CHECK,2200_18283_1_not_null,null,null,null
invoice_line_items,CHECK,2200_18283_3_not_null,null,null,null
invoice_line_items,CHECK,2200_18283_5_not_null,null,null,null
invoice_line_items,CHECK,invoice_line_items_item_type_check,null,invoice_line_items,item_type
invoice_line_items,FOREIGN KEY,invoice_line_items_invoice_id_fkey,invoice_id,invoices,id
invoice_line_items,PRIMARY KEY,invoice_line_items_pkey,id,invoice_line_items,id
invoices,CHECK,2200_18248_1_not_null,null,null,null
invoices,CHECK,2200_18248_4_not_null,null,null,null
invoices,CHECK,2200_18248_5_not_null,null,null,null
invoices,CHECK,chk_due_date_after_issue,null,invoices,due_date
invoices,CHECK,chk_due_date_after_issue,null,invoices,issue_date
invoices,CHECK,chk_invoices_balance_calculation,null,invoices,balance_due
invoices,CHECK,chk_invoices_balance_calculation,null,invoices,amount_paid
invoices,CHECK,chk_invoices_balance_calculation,null,invoices,total_amount
invoices,CHECK,chk_invoices_due_date_after_issue,null,invoices,due_date
invoices,CHECK,chk_invoices_due_date_after_issue,null,invoices,issue_date
invoices,CHECK,chk_invoices_total_calculation,null,invoices,tax_amount
invoices,CHECK,chk_invoices_total_calculation,null,invoices,subtotal
invoices,CHECK,chk_invoices_total_calculation,null,invoices,total_amount
invoices,FOREIGN KEY,invoices_company_id_fkey,company_id,companies,id
invoices,FOREIGN KEY,invoices_customer_id_fkey,customer_id,customers,id
invoices,FOREIGN KEY,invoices_work_order_id_fkey,work_order_id,work_orders,id
invoices,PRIMARY KEY,invoices_pkey,id,invoices,id
invoices,UNIQUE,invoices_invoice_number_key,invoice_number,invoices,invoice_number
job_completion_checklist,CHECK,2200_24349_11_not_null,null,null,null
job_completion_checklist,CHECK,2200_24349_1_not_null,null,null,null
job_completion_checklist,CHECK,2200_24349_2_not_null,null,null,null
job_completion_checklist,CHECK,2200_24349_3_not_null,null,null,null
job_completion_checklist,CHECK,2200_24349_4_not_null,null,null,null
job_completion_checklist,FOREIGN KEY,job_completion_checklist_company_id_fkey,company_id,companies,id
job_completion_checklist,FOREIGN KEY,job_completion_checklist_completed_by_fkey,completed_by,profiles,id
job_completion_checklist,FOREIGN KEY,job_completion_checklist_work_order_id_fkey,work_order_id,work_orders,id
job_completion_checklist,PRIMARY KEY,job_completion_checklist_pkey,id,job_completion_checklist,id
marketplace_messages,CHECK,2200_23742_1_not_null,null,null,null
marketplace_messages,CHECK,2200_23742_6_not_null,null,null,null
marketplace_messages,FOREIGN KEY,marketplace_messages_request_id_fkey,request_id,marketplace_requests,id
marketplace_messages,FOREIGN KEY,marketplace_messages_response_id_fkey,response_id,marketplace_responses,id
marketplace_messages,FOREIGN KEY,marketplace_messages_sender_company_id_fkey,sender_company_id,companies,id
marketplace_messages,FOREIGN KEY,marketplace_messages_sender_user_id_fkey,sender_user_id,profiles,id
marketplace_messages,PRIMARY KEY,marketplace_messages_pkey,id,marketplace_messages,id
marketplace_requests,CHECK,2200_23684_1_not_null,null,null,null
marketplace_requests,CHECK,2200_23684_4_not_null,null,null,null
marketplace_requests,CHECK,marketplace_requests_status_check,null,marketplace_requests,status
marketplace_requests,FOREIGN KEY,marketplace_requests_company_id_fkey,company_id,companies,id
marketplace_requests,FOREIGN KEY,marketplace_requests_customer_id_fkey,customer_id,customers,id
marketplace_requests,FOREIGN KEY,marketplace_requests_service_category_id_fkey,service_category_id,service_categories,id
marketplace_requests,FOREIGN KEY,marketplace_requests_service_type_id_fkey,service_type_id,service_types,id
marketplace_requests,PRIMARY KEY,marketplace_requests_pkey,id,marketplace_requests,id
marketplace_responses,CHECK,2200_23720_1_not_null,null,null,null
marketplace_responses,CHECK,marketplace_responses_status_check,null,marketplace_responses,status
marketplace_responses,FOREIGN KEY,marketplace_responses_contractor_company_id_fkey,contractor_company_id,companies,id
marketplace_responses,FOREIGN KEY,marketplace_responses_request_id_fkey,request_id,marketplace_requests,id
marketplace_responses,PRIMARY KEY,marketplace_responses_pkey,id,marketplace_responses,id
marketplace_settings,CHECK,2200_21014_1_not_null,null,null,null
marketplace_settings,CHECK,2200_21014_2_not_null,null,null,null
marketplace_settings,FOREIGN KEY,marketplace_settings_company_id_fkey,company_id,companies,id
marketplace_settings,PRIMARY KEY,marketplace_settings_pkey,id,marketplace_settings,id
marketplace_settings,UNIQUE,marketplace_settings_company_id_key,company_id,marketplace_settings,company_id
messages,CHECK,2200_18701_1_not_null,null,null,null
messages,CHECK,2200_18701_6_not_null,null,null,null
messages,CHECK,2200_18701_9_not_null,null,null,null
messages,CHECK,messages_message_type_check,null,messages,message_type
messages,CHECK,messages_recipient_type_check,null,messages,recipient_type
messages,CHECK,messages_status_check,null,messages,status
